customer_id,nome,email,telefone,data_nascimento,cidade,estado,renda_mensal,score_credito,num_produtos,valor_compras_total,data_cadastro,canal_aquisicao,status_cliente,satisfacao,email_disponivel,telefone_disponivel,idade,faixa_etaria,meses_relacionamento,ticket_medio,segmento_renda,score_credito_norm,valor_norm,satisfacao_norm,indice_engajamento,alto_valor,classe_risco
CUST-00001,Srta. Agatha Câmara,maria-helenafogaca@example.com,31 9109-5132,1953-07-04,Ferreira,AL,6958.365662221145,743.0,5,2848.165399476862,2024-10-07,Orgânico,Ativo,4.0,1,1,72.0,65+,17.1,569.6330798953725,Ouro,0.8054545454545454,0.1768470459855693,0.75,0.5716,0,Excelente
CUST-00002,Eduardo Monteiro,xnascimento@example.net,Não informado,,Pinto dos Dourados,RR,4461.387026613374,584.0,0,3791.56066744534,2024-06-11,Pago,Ativo,4.0,1,0,,,21.0,0.0,Prata,0.5163636363636364,0.2354239342405961,0.75,0.4764,0,Moderado
CUST-00003,Alícia Pimenta,ana-vitoriada-mota@example.net,+55 71 2789 8715,1978-04-11,Novais do Oeste,RN,7734.003901829064,552.0,0,3136.974167218338,2025-06-12,Pago,Prospect,4.0,1,1,47.0,36-50,9.0,0.0,Platina,0.4581818181818182,0.19477963425421185,0.75,0.4389,0,Moderado
CUST-00004,Heloisa Novaes,goncalvesclara@example.org,+55 (051) 8600-6150,2001-03-17,Lopes,PR,14272.94262059788,650.0,2,4665.034363268709,2025-06-03,Pago,Ativo,5.0,1,1,25.0,26-35,9.3,2332.5171816343545,Platina,0.6363636363636364,0.28965928267957125,1.0,0.6059,0,Bom
CUST-00005,Luara Sampaio,lunafogaca@example.com,(051) 1572 9494,1953-11-18,Fogaça,AL,4171.757286662968,630.0,3,2964.81540258731,2022-06-15,Social,Ativo,3.0,1,1,72.0,65+,44.9,988.2718008624366,Prata,0.6,0.184090027193079,0.5,0.4294,0,Bom
CUST-00006,Sra. Ana Júlia Da Costa,marcos-vinicius29@example.net,+55 31 1967 7482,1947-10-21,da Conceição Verde,CE,5111.924595315733,596.0,4,241.78851993185947,2024-03-02,Pago,Prospect,4.0,1,1,78.0,65+,24.3,60.44712998296487,Prata,0.5381818181818182,0.015013027512737209,0.75,0.408,0,Moderado
CUST-00007,Ana Júlia Mendonça,omonteiro@example.org,(011) 0542-5529,1991-09-27,Garcia de Souza,SE,5111.924595315733,648.0,2,433.3081546834409,2023-09-17,Referral,Ativo,3.0,1,1,34.0,26-35,29.8,216.65407734172044,Prata,0.6327272727272727,0.026904781292301196,0.5,0.3875,0,Bom
CUST-00008,João Guilherme Sousa,ravy57@example.org,+55 84 0844 6446,1978-09-25,Castro de da Mota,AL,8410.231761264115,765.0,1,3176.305259432039,2021-11-29,Social,Ativo,4.0,1,1,47.0,36-50,51.4,3176.305259432039,Platina,0.8454545454545455,0.1972217633084643,0.75,0.5947,0,Excelente
CUST-00009,Jade Novais,nascimentohadassa@example.com,+55 (081) 3734 6548,1975-01-22,Gomes,RN,5111.924595315733,661.0,3,1125.4422333465734,2026-01-23,Social,Ativo,3.0,1,1,51.0,51-65,1.6,375.14741111552445,Prata,0.6563636363636364,0.069880469171945,0.5,0.412,0,Bom
CUST-00010,Luiz Felipe Da Conceição,claracarvalho@example.org,+55 61 5287-8725,1974-12-19,Lopes da Mata,CE,7185.29625800642,827.0,4,290.4858390120374,2021-04-24,Orgânico,Inativo,3.0,1,1,51.0,51-65,58.6,72.62145975300935,Ouro,0.9581818181818181,0.01803672024783187,0.5,0.5146,0,Excelente
